# ----------------------------------------
# OpenSooq.ALL
# Search Terms
# 20140101-20140522
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Search Depth
متشي,"3,702",7.29,16.99%,10.79%,00:08:59,6.86
بيت مستقل,"3,674",9.92,24.55%,5.42%,00:12:35,10.75
السيارات,"3,671",8.38,25.66%,5.75%,00:10:05,8.14
جمس,"3,658",5.43,15.01%,15.10%,00:06:06,4.96
تيوتا كامري,"3,656",5.82,19.01%,11.25%,00:09:31,6.73
الياسمين,"3,655",6.51,18.96%,9.63%,00:11:08,9.33
sony,"3,653",4.46,19.74%,14.57%,00:07:19,5.52
ساعة,"3,648",6.00,25.27%,9.53%,00:08:05,7.57
كيا كوبي,"3,638",5.91,19.46%,10.23%,00:09:45,7.45
kia,"3,636",6.11,19.06%,11.77%,00:07:27,5.60
اكاديا,"3,617",4.14,17.28%,16.30%,00:06:20,5.41
نوت,"3,613",4.59,20.48%,13.22%,00:08:37,7.07
سوبر ماركت,"3,609",6.72,18.87%,9.20%,00:09:05,8.85
تويوتا تندرا,"3,602",7.01,22.68%,8.44%,00:11:01,7.54
لاندكروزر,"3,596",4.00,17.02%,16.93%,00:06:01,4.88
عين زارة,"3,589",9.19,26.53%,5.23%,00:14:59,11.06
غوط الشعال,"3,567",6.55,27.95%,7.25%,00:11:01,8.27
خلدا,"3,564",7.37,18.91%,9.05%,00:09:04,8.29
لوميا,"3,524",3.42,18.42%,17.17%,00:06:30,6.02
نيسان مورانو,"3,523",4.42,15.38%,14.62%,00:07:42,6.28
الامارات,"3,513",3.42,15.80%,19.04%,00:05:33,5.10
موطوات,"3,513",11.97,32.68%,3.99%,00:14:30,10.55
خالي قص قلبان,"3,500",9.22,21.63%,6.92%,00:12:19,9.44
تنك ماء,"3,483",6.43,20.30%,10.36%,00:08:11,7.64
هونداي سنتافي,"3,450",6.89,22.61%,8.74%,00:11:20,8.35
وظائف,"3,449",8.59,27.25%,4.22%,00:09:30,10.42
